Naslov,Filename,ImeKnjige,ImeAvtorja,Tip
https://www.gutenberg.org/ebooks/604.txt.utf-8,ELLA_GulliverOfMars,Gulliver of Mars,Edwin Lester Linden Arnold,Fantasy
https://www.gutenberg.org/ebooks/420.txt.utf-8,LFB_DorothyAndTheWizardInOz,Dorothy and the Wizard in Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/517.txt.utf-8,LFB_TheEmeraldCityOfOz,The Emerald City of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/518.txt.utf-8,LFB_TheEnchantedIslandOfYew,The Enchanted Island of Yew,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/961.txt.utf-8,LFB_GlindaOfOz,Glinda of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/959.txt.utf-8,LFB_TheLostPrincessOfOz,The Lost Princess of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/419.txt.utf-8,LFB_TheMagicOfOz,The Magic of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/54.txt.utf-8,LFB_TheMarvelousLandOfOz,The Marvelous Land of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/288.txt.utf-8,JBC_TheCertainHour(DizainDesPoëtes),The Certain Hour (Dizain des Poëtes),James Branch Cabell,Fantasy
https://www.gutenberg.org/ebooks/10882.txt.utf-8,JBC_TheEagle'sShadow,The Eagle's Shadow,James Branch Cabell,Fantasy
https://www.gutenberg.org/ebooks/19445.txt.utf-8,HBP_Omnilingual,Omnilingual,H. Beam Piper,Science Fiction
https://www.gutenberg.org/ebooks/10002.txt.utf-8,WHH_TheHouseOnTheBorderland,The House on the Borderland,William Hope Hodgson,Science Fiction
https://www.gutenberg.org/ebooks/41481.txt.utf-8,RCEA_AstoundingStoriesOfSuper-ScienceJanuary1930,Astounding Stories of Super-Science January 1930,Ray Cummings et al.,Science Fiction
https://www.gutenberg.org/ebooks/28617.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceFebruary1930,Astounding Stories of Super-Science February 1930,Various,Science Fiction
https://www.gutenberg.org/ebooks/29607.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,March1930","Astounding Stories of Super-Science, March 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29390.txt.utf-8,AP_AstoundingStoriesOfSuper-ScienceApril1930,Astounding Stories of Super-Science April 1930,Anthony Pelcher,Science Fiction
https://www.gutenberg.org/ebooks/29809.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,May,1930","Astounding Stories of Super-Science, May, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29848.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,June,1930","Astounding Stories of Super-Science, June, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29198.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceJuly1930,Astounding Stories of Super-Science July 1930,Various,Science Fiction
https://www.gutenberg.org/ebooks/29768.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,August1930","Astounding Stories of Super-Science, August 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29255.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceSeptember1930,Astounding Stories of Super-Science September 1930,Various,Science Fiction
https://www.gutenberg.org/ebooks/29882.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,October,1930","Astounding Stories of Super-Science, October, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29919.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,November,1930","Astounding Stories of Super-Science, November, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/30691.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,December1930","Astounding Stories of Super-Science, December 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/30177.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceJanuary1931,Astounding Stories of Super-Science January 1931,Various,Science Fiction
https://www.gutenberg.org/ebooks/30452.txt.utf-8,"V_AstoundingStories,April,1931","Astounding Stories,  April, 1931",Various,Science Fiction
https://www.gutenberg.org/ebooks/30532.txt.utf-8,"V_AstoundingStories,May,1931","Astounding Stories, May, 1931",Various,Science Fiction
https://www.gutenberg.org/ebooks/49809.txt.utf-8,RA_Junior,Junior,Robert Abernathy,Science Fiction
https://www.gutenberg.org/ebooks/32579.txt.utf-8,FJA_Micro-Man,Micro-Man,Forrest J. Ackerman,Science Fiction
https://www.gutenberg.org/ebooks/51650.txt.utf-8,KAAPA_InnocentAtLarge,Innocent at Large,Karen Anderson and Poul Anderson,Science Fiction
https://www.gutenberg.org/ebooks/41064.txt.utf-8,PA_TheChapterEnds,The Chapter Ends,Poul Anderson,Science Fiction
https://www.gutenberg.org/ebooks/30971.txt.utf-8,PA_IndustrialRevolution,Industrial Revolution,Poul Anderson,Science Fiction
https://www.gutenberg.org/ebooks/51184.txt.utf-8,PA_InsideEarth,Inside Earth,Poul Anderson,Science Fiction
https://www.gutenberg.org/ebooks/37653.txt.utf-8,"PA_Sentiment,Inc.","Sentiment, Inc.",Poul Anderson,Science Fiction
https://www.gutenberg.org/ebooks/29542.txt.utf-8,PA_TheValorOfCappenVarra,The Valor of Cappen Varra,Poul Anderson,Science Fiction
https://www.gutenberg.org/ebooks/51273.txt.utf-8,CA_AdvanceAgent,Advance Agent,Christopher Anvil,Science Fiction
https://www.gutenberg.org/ebooks/27392.txt.utf-8,LA_LeaseToDoomsday,Lease to Doomsday,Lee Archer,Science Fiction
https://www.gutenberg.org/ebooks/29303.txt.utf-8,JA_OperationEarthworm,Operation Earthworm,Joe Archibald,Science Fiction
https://www.gutenberg.org/ebooks/51397.txt.utf-8,AA_PeopleSoup,People Soup,Alan Arkin,Science Fiction
https://www.gutenberg.org/ebooks/604.txt.utf-8,ELLA_GulliverOfMars,Gulliver of Mars,Edwin Lester Linden Arnold,Science Fiction
https://www.gutenberg.org/ebooks/29618.txt.utf-8,RA_TheAggravationOfElmer,The Aggravation of Elmer,Robert Arthur,Science Fiction
https://www.gutenberg.org/ebooks/23688.txt.utf-8,RA_TheIndulgenceOfNeguMah,The Indulgence of Negu Mah,Robert Arthur,Science Fiction
https://www.gutenberg.org/ebooks/30427.txt.utf-8,PA_TheLostKafoozalum,The Lost Kafoozalum,Pauline Ashwell,Science Fiction
https://www.gutenberg.org/ebooks/31547.txt.utf-8,IA_Youth,Youth,Isaac Asimov,Science Fiction
https://www.gutenberg.org/ebooks/24517.txt.utf-8,PB_AccidentalDeath,Accidental Death,Peter Baily,Science Fiction
https://www.gutenberg.org/ebooks/51129.txt.utf-8,MB_AGiftFromEarth,A Gift from Earth,Manly Banister,Science Fiction
https://www.gutenberg.org/ebooks/23148.txt.utf-8,FB_Droozle,Droozle,Frank Banta,Science Fiction
https://www.gutenberg.org/ebooks/29623.txt.utf-8,WB_TheCuckooClock,The Cuckoo Clock,Wesley Barefoot,Science Fiction
https://www.gutenberg.org/ebooks/8681.txt.utf-8,RB_TheFaceAndTheMask,The Face and the Mask,Robert Barr,Science Fiction
https://www.gutenberg.org/ebooks/51823.txt.utf-8,SB_TheBackOfOurHeads,The Back of Our Heads,Stephen Barr,Science Fiction
https://www.gutenberg.org/ebooks/51330.txt.utf-8,SB_IAmANucleus,I Am A Nucleus,Stephen Barr,Science Fiction
https://www.gutenberg.org/ebooks/29310.txt.utf-8,AG_TheAffairOfTheBrains,The Affair of the Brains,Anthony Gilmore,Science Fiction
https://www.gutenberg.org/ebooks/29298.txt.utf-8,AG_TheBluffOfTheHawk,The Bluff of the Hawk,Anthony Gilmore,Science Fiction
https://www.gutenberg.org/ebooks/30307.txt.utf-8,AG_HawkCarse,Hawk Carse,Anthony Gilmore,Science Fiction
https://www.gutenberg.org/ebooks/30303.txt.utf-8,AG_ThePassingOfKuSui,The Passing of Ku Sui,Anthony Gilmore,Science Fiction
https://www.gutenberg.org/ebooks/29475.txt.utf-8,HB_UnderArcticIce,Under Arctic Ice,Harry Bates,Science Fiction
https://www.gutenberg.org/ebooks/7052.txt.utf-8,EB_Dr.Heidenhoff'sProcess,Dr. Heidenhoff's Process,Edward Bellamy,Science Fiction
https://www.gutenberg.org/ebooks/29750.txt.utf-8,JB_Zen,Zen,Jerome Bixby,Science Fiction
https://www.gutenberg.org/ebooks/32498.txt.utf-8,AB_TheBrain,The Brain,Alexander Blade,Science Fiction
https://www.gutenberg.org/ebooks/32801.txt.utf-8,AB_ThePlotters,The Plotters,Alexander Blade,Science Fiction
https://www.gutenberg.org/ebooks/22958.txt.utf-8,JB_One-Shot,One-Shot,James Blish,Science Fiction
https://www.gutenberg.org/ebooks/32447.txt.utf-8,JB_TheThingInTheAttic,The Thing in the Attic,James Blish,Science Fiction
https://www.gutenberg.org/ebooks/25776.txt.utf-8,RB_ThisCrowdedEarth,This Crowded Earth,Robert Bloch,Science Fiction
https://www.gutenberg.org/ebooks/611.txt.utf-8,JB_PresterJohn,Prester John,John Buchan,Adventure
https://www.gutenberg.org/ebooks/558.txt.utf-8,JB_TheThirty-NineSteps,The Thirty-Nine Steps,John Buchan,Adventure
https://www.gutenberg.org/ebooks/559.txt.utf-8,JB_Greenmantle,Greenmantle,John Buchan,Adventure
https://www.gutenberg.org/ebooks/560.txt.utf-8,JB_Mr.Standfast,Mr. Standfast,John Buchan,Adventure
https://www.gutenberg.org/ebooks/11617.txt.utf-8,"V_Punch,OrTheLondonCharivari,Volume156,April2,1919","Punch, or the London Charivari, Volume 156, April 2, 1919",Various,Adventure
https://www.gutenberg.org/ebooks/78.txt.utf-8,ERB_TarzanOfTheApes,Tarzan of the Apes,Edgar Rice Burroughs,Adventure
https://www.gutenberg.org/ebooks/2020.txt.utf-8,ERB_TarzanTheTerrible,Tarzan the Terrible,Edgar Rice Burroughs,Adventure
https://www.gutenberg.org/ebooks/90.txt.utf-8,ERB_TheSonOfTarzan,The Son of Tarzan,Edgar Rice Burroughs,Adventure
https://www.gutenberg.org/ebooks/92.txt.utf-8,ERB_TarzanAndTheJewelsOfOpar,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,Adventure
https://www.gutenberg.org/ebooks/106.txt.utf-8,ERB_JungleTalesOfTarzan,Jungle Tales of Tarzan,Edgar Rice Burroughs,Adventure
https://www.gutenberg.org/ebooks/85.txt.utf-8,ERB_TheBeastsOfTarzan,The Beasts of Tarzan,Edgar Rice Burroughs,Adventure
https://www.gutenberg.org/files/1184/1184-0.txt,"AD_TheCountOfMonteCristo,Illustrated","The Count of Monte Cristo, Illustrated",Alexandre Dumas,Adventure
https://www.gutenberg.org/files/1257/1257-0.txt,AD_TheThreeMusketeers,The Three Musketeers,Alexandre Dumas,Adventure
https://www.gutenberg.org/files/1259/1259-0.txt,AD_TwentyYearsAfter,Twenty Years After,Alexandre Dumas,Adventure
https://www.gutenberg.org/1/2/5/2609/2609-0.txt,AD_TheVicomteDeBragelonne,The Vicomte De Bragelonne,Alexandre Dumas,Adventure
https://www.gutenberg.org/files/2681/2681-0.txt,AD_TenYearsLater,Ten Years Later,Alexandre Dumas,Adventure
https://www.gutenberg.org/files/2710/2710-0.txt,AD_LouiseDeLaValliere,Louise de la Valliere,Alexandre Dumas,Adventure
https://www.gutenberg.org/files/2759/2759-0.txt,AD_TheManInTheIronMask,The Man in the Iron Mask,Alexandre Dumas,Adventure
https://www.gutenberg.org/ebooks/10743.txt.utf-8,JMF_Moonfleet,Moonfleet,John Meade Falkner,Adventure
https://www.gutenberg.org/ebooks/30324.txt.utf-8,AOF_ThePathlessTrail,The Pathless Trail,Arthur O. Friel,Adventure
https://www.gutenberg.org/ebooks/2166.txt.utf-8,HRH_KingSolomon'sMines,King Solomon's Mines,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/711/711-0.txt,HRH_AllanQuatermain,Allan Quatermain,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/2728/2728-0.txt,HRH_HunterQuatermain'sStory,Hunter Quatermain's Story,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/5745/5745-0.txt,HRH_SheAndAllan,She and Allan,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/5174/5174-0.txt,HRH_AllanAndTheHolyFlower,Allan and the Holy Flower,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/2727/2727-0.txt,HRH_Allan'sWife,Allan's Wife,H. Rider Haggard,Adventure
https://www.gutenberg.org/ebooks/1724.txt.utf-8,HRH_Finished,Finished,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/2713/2713-0.txt,"HRH_Maiwa'sRevenge;Or,TheWarOfTheLittleHand","Maiwa's Revenge; Or, The War of the Little Hand",H. Rider Haggard,Adventure
https://www.gutenberg.org/files/1711/1711-0.txt,HRH_ChildOfStorm,Child of Storm,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/2841/2841-0.txt,HRH_TheIvoryChild,The Ivory Child,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/5746/5746-0.txt,HRH_TheAncientAllan,The Ancient Allan,H. Rider Haggard,Adventure
https://www.gutenberg.org/files/5228/5228-0.txt,"HRH_Ayesha,TheReturnOfShe","Ayesha, the Return of She",H. Rider Haggard,Adventure
https://www.gutenberg.org/files/95/95-0.txt,AH_ThePrisonerOfZenda,The Prisoner of Zenda,Anthony Hope,Adventure
https://www.gutenberg.org/ebooks/2226.txt.utf-8,RK_Kim,Kim,Rudyard Kipling,Adventure
https://www.gutenberg.org/ebooks/910.txt.utf-8,JL_WhiteFang,White Fang,Jack London,Adventure
https://www.gutenberg.org/files/589/589-0.txt,RLS_Catriona,Catriona,Robert Louis Stevenson,Adventure
https://www.gutenberg.org/ebooks/103.txt.utf-8,JV_AroundTheWorldInEightyDays,Around the World in Eighty Days,Jules Verne,Adventure
https://www.gutenberg.org/files/3526/3526-0.txt,JV_FiveWeeksInABalloon,Five Weeks in a Balloon,Jules Verne,Adventure
https://www.gutenberg.org/ebooks/35545.txt.utf-8,EW_SandersOfTheRiver,Sanders of the River,Edgar Wallace,Adventure
https://www.gutenberg.org/ebooks/24450.txt.utf-8,EW_Bones,Bones,Edgar Wallace,Adventure
https://www.gutenberg.org/ebooks/25803.txt.utf-8,EW_TheKeepersOfTheKing'sPeace,The Keepers of the King's Peace,Edgar Wallace,Adventure
https://www.gutenberg.org/ebooks/27525.txt.utf-8,EW_BonesInLondon,Bones in London,Edgar Wallace,Adventure
